,airbnb_id,airbnb_name,host_id,price,room_type,number_of_reviews,availability_365
117155,2595,Skylit Midtown Castle,2845,175,Entire home/apt,48,365
117156,3831,"Whole flr w/private bdrm, bath & kitchen(pls read)",4869,76,Entire home/apt,349,272
117157,5121,BlissArtsSpace!,7356,60,Private room,50,365
117158,5136,"Spacious Brooklyn Duplex, Patio + Garden",7378,175,Entire home/apt,1,352
117159,5178,Large Furnished Room Near B'way　,8967,79,Private room,473,346
117160,5203,Cozy Clean Guest Room - Family Apt,7490,75,Private room,118,0
117161,5238,Cute & Cozy Lower East Side 1 bdrm,7549,140,Entire home/apt,161,288
117162,5552,Spacious river view in the West Village,8380,160,Entire home/apt,66,96
117163,5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,86,Private room,180,365
117164,6021,Wonderful Guest Bedroom in Manhattan CENTRAL PARK,11528,85,Private room,123,365
117165,6848,Only 2 stops to Manhattan studio,15991,109,Entire home/apt,181,0
117166,6990,UES Beautiful Blue Room / 2 Bedrooms,16800,239,Entire home/apt,233,365
117167,7097,Perfect for Your Parents + Garden; Germ-Free,17571,182,Entire home/apt,230,348
117168,7750,2 Furnished bedrooms next to Central Park,17985,96,Private room,0,178
117169,7801,Sweet and Spacious Brooklyn Loft,21207,299,Entire home/apt,9,359
117170,8490,"MAISON DES SIRENES1,bohemian apartment",25183,120,Entire home/apt,115,331
117171,8505,Sunny Bedroom Across Prospect Park,25326,135,Private room,23,89
117172,8700,Magnifique Suite au N de Manhattan - vue Cloitres,26394,86,Private room,0,0
117173,9657,Modern 1 BR / NYC / East Village,21904,175,Entire home/apt,33,90
117174,9704,Spacious 1 bedroom in luxe building,32045,55,Private room,98,354
117175,10452,Large B&B Style rooms,35935,70,Private room,75,365
117176,10962,"Lovely Room 2; Garden; Best area, Legal",9744,86,Private room,181,365
117177,11943,Country space in the city,45445,150,Private room,0,365
117178,12048,LowerEastSide apt share shortterm 1,7549,40,Shared room,219,249
117179,12192,ENJOY Downtown NYC!,46978,40,Private room,262,46
117180,12343,BEST BET IN HARLEM,47727,150,Entire home/apt,107,364
117181,12627,Entire apartment in central Brooklyn neighborhood.,49670,95,Entire home/apt,13,140
117182,12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,130,Private room,280,246
117183,12940,Charming Brownstone 3 - Near PRATT,50148,100,Entire home/apt,67,18
117184,13050,bright and stylish duplex,50846,120,Entire home/apt,12,160
117185,13121,(E) RIGHT ON BUDGET,27848,75,Private room,65,365
117186,13267,Sunny Williamsburg/New York loft,51777,245,Entire home/apt,35,365
117187,13394,Fort Greene brownstone,52335,80,Private room,143,193
117188,13677,Beautiful Attic bedroom Chelsea!,53621,150,Private room,69,365
117189,13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,81,Private room,141,348
117190,14290,* ORIGINAL BROOKLYN LOFT *,56104,153,Entire home/apt,97,171
117191,14314,Greenpoint Place...Has It All!,56246,150,Entire home/apt,180,0
117192,14322,Beautiful Apartment in Manhattan!!!,56284,200,Entire home/apt,20,358
117193,14991,"Great Location, Manhattan Bedroom!",59023,110,Private room,19,365
117194,15220,Best Location in NYC! TIMES SQUARE!,59734,83,Private room,325,365
117195,15341,Bright Nolita Apt w Doorman & Elevator*,60049,150,Entire home/apt,25,90
117196,15385,"Very, very cozy place",60252,90,Private room,49,262
117197,15396,Sunny & Spacious Chelsea Apartment,60278,375,Entire home/apt,5,145
117198,15711,2 bedroom Upper East Side,61491,180,Entire home/apt,83,352
117199,15962,An East Village winter adventure!,62407,130,Entire home/apt,58,88
117200,16326,Comfortable 4-bedroom apt in family house.,63588,100,Entire home/apt,150,342
117201,16338,Double Room w Private Deck Clinton Hill Best Area,63613,55,Private room,28,287
117202,16458,Light-filled 2B duplex in the heart of Park Slope!,64056,250,Entire home/apt,4,0
117203,16580,"Sunny, Modern room in East Village!",64442,65,Private room,407,165
117204,16595,BRICK HAVEN ~ Loft ~ Full Floor ~ Double Exposure,64522,199,Entire home/apt,174,363
117205,16821,Large Room in Amazing East Village Apt,4396,79,Private room,119,365
117206,16974,SpaHa Loft: Enormous and Bright,65837,325,Entire home/apt,212,218
117207,17037,Lovely EV Artist's Home,66035,250,Entire home/apt,53,177
117208,17092,Cool Room in Hell's Kitchen,66243,55,Private room,29,218
117209,17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,65,Private room,60,365
117210,17747,BLUE TRIM GUEST HOUSE,68599,75,Private room,128,364
117211,18127,Charming East Village One Bedroom Flat,69829,176,Entire home/apt,21,356
117212,18195,King of Queens w/ Private Bathroom,70091,90,Private room,22,354
117213,18198,Little King of Queens,70091,75,Private room,27,12
117214,18728,Beautiful Meatpacking District Loft!,71876,150,Private room,184,329
117215,18764,Cozy 2 BR in Williamsburg,72014,145,Private room,63,365
117216,18961,Cozy Studio in Great Location!,70857,95,Private room,1,365
117217,19159,Spacious luminous apt Upper West NYC,73051,110,Entire home/apt,58,130
