id,latitude,longitude,combinate_id
2595,40.75362,-73.98377,1
3831,40.68514,-73.95976,2
5121,40.68688,-73.95596,3
5136,40.6612,-73.99423,4
5178,40.76489,-73.98493,5
5203,40.80178,-73.96723,6
5238,40.71344,-73.99037,7
5552,40.73552,-74.01042,8
5803,40.66829,-73.98779,9
6021,40.79826,-73.96113,6
6848,40.70837,-73.95352,10
6990,40.78962,-73.94802,11
7097,40.69121,-73.97277,12
7750,40.79685,-73.94872,11
7801,40.71842,-73.95718,10
8490,40.68371,-73.94028,3
8505,40.65599,-73.97519,13
8700,40.86754,-73.92639,14
9657,40.7292,-73.98542,15
9704,40.81305,-73.95466,16
10452,40.6831,-73.95473,3
10962,40.66869,-73.9878,9
11943,40.63702,-73.96327,17
12048,40.71401,-73.98917,18
12192,40.7229,-73.98199,15
12343,40.81175,-73.94478,16
12627,40.65944,-73.96238,19
12937,40.74771,-73.9474,20
12940,40.68111,-73.95591,3
13050,40.68554,-73.9409,3
13121,40.67117,-73.76576,21
13267,40.71751,-73.96286,10
13394,40.69142,-73.97376,12
13677,40.74395,-73.99451,22
13808,40.68064,-73.94039,3
14290,40.7042,-73.9356,10
14314,40.73506,-73.95392,23
14322,40.73961,-73.98074,24
14991,40.72004,-73.99104,18
15220,40.75531,-73.99293,5
15341,40.72297,-73.99684,25
15385,40.71185,-73.96204,10
15396,40.74623,-73.9953,22
15711,40.77065,-73.95269,26
15962,40.7236,-73.98466,15
16326,40.67811,-73.96428,27
16338,40.69,-73.96788,2
16458,40.67343,-73.98338,28
16580,40.72649,-73.97904,15
16595,40.70933,-73.96792,10
16821,40.72298,-73.98474,15
16974,40.80164,-73.93922,11
17037,40.72162,-73.98008,15
17092,40.76342,-73.98865,5
17693,40.83139,-73.94095,29
17747,40.68346,-73.96374,2
18127,40.72828,-73.98801,15
18195,40.7459,-73.90764,30
18198,40.75038,-73.90334,30
18728,40.74138,-74.00197,22
18764,40.71154,-73.96112,10
18961,40.73808,-73.98001,24
19159,40.82915,-73.95136,16
19169,40.71851,-73.98892,18
19282,40.65401,-73.96323,17
19601,40.69723,-73.99268,31
19812,40.71833,-73.95748,10
20300,40.72912,-73.98057,15
20611,40.71156,-73.96218,10
20717,40.67832,-73.97243,27
20724,40.70032,-73.9383,32
20755,40.68634,-73.966,2
20913,40.70984,-73.95775,10
21456,40.79764,-73.96177,6
21644,40.82803,-73.94731,16
21794,40.74008,-74.00271,22
23135,40.67967,-74.00154,33
23545,40.82748,-73.95069,16
23686,40.73096,-74.00319,8
24143,40.71332,-73.94177,10
24285,40.66941,-73.98109,28
25235,40.68373,-73.92377,3
25406,40.71459,-73.94844,10
25696,40.8104,-73.94309,16
26012,40.68157,-73.98989,34
26362,40.75527,-73.99291,5
26520,40.68698,-73.96572,2
26559,40.7288,-73.98192,15
26785,40.66853,-73.98912,9
26969,40.71942,-73.95748,10
27006,40.77823,-73.97637,6
27644,40.82754,-73.94919,16
27659,40.66499,-73.97925,9
27759,40.77842,-73.97556,6
27883,40.72245,-73.98527,15
28907,40.778,-73.94822,26
29013,40.68332,-73.9547,3
29455,40.81618,-73.94894,16
29628,40.68414,-73.96351,2
29683,40.72392,-73.99143,15
30031,40.73494,-73.9503,23
31130,40.76754,-73.98399,5
31555,40.73442,-74.00303,8
31902,40.63188,-73.93248,35
31994,40.68818,-73.96383,2
32023,40.68296,-73.93662,3
32037,40.68513,-73.96648,2
32041,40.72718,-74.00244,36
32289,40.71561,-73.94835,10
32329,40.72895,-73.98377,15
32331,40.6857,-73.99183,37
32363,40.74028,-73.83168,38
32965,40.68281,-73.93524,3
33009,40.71492,-73.95935,10
33014,40.72354,-73.98295,15
33156,40.78849,-73.96883,6
36442,40.67447,-73.96619,27
36647,40.79295,-73.93997,11
36703,40.73226,-74.00401,8
36934,40.71363,-73.96398,10
37042,40.75295,-73.99801,22
37197,40.72125,-73.98177,15
38638,40.77711,-73.9527,26
38663,40.68559,-73.98094,39
39267,40.77456,-73.95323,26
39282,40.71088,-73.95055,10
39572,40.76233,-73.98854,5
39586,40.77953,-73.98829,6
39593,40.74559,-73.92313,40
39704,40.68306,-73.94659,3
40453,40.76123,-73.9642,26
41513,40.82704,-73.94907,16
42300,40.71824,-73.99315,18
42729,40.6783,-74.00135,33
42882,40.64633,-74.08156,41
43726,40.71915,-74.01017,42
44096,40.83232,-73.93184,43
44161,40.71045,-73.9677,10
44229,40.69098,-73.97113,12
44288,40.73756,-74.00405,8
44506,40.81526,-73.94791,16
45542,40.82374,-73.9373,16
45556,40.68834,-73.97578,12
45910,40.70382,-73.89797,44
