airbnb_id,rat_count
2595,0
3831,3
5121,49
5136,0
5178,3
5203,49
5238,0
5552,0
5803,6
6021,0
6848,10
6990,11
7097,8
7750,1
7801,9
8490,8
8505,0
8700,1
9657,8
9704,10
10452,1
10962,0
11943,0
12048,2
12192,2
12343,5
12627,0
12937,4
12940,11
13050,0
13121,1
13267,0
13394,1
13677,0
13808,8
14290,0
14314,2
14322,4
14991,7
15220,3
15341,0
15385,2
15396,2
15711,23
15962,5
16326,0
16338,0
16458,2
16580,31
16595,3
16821,0
16974,7
17037,58
17092,3
17693,3
17747,14
18127,38
18195,12
18198,0
18728,1
18764,3
18961,0
19159,0
19169,4
19282,0
19601,1
19812,15
20300,0
20611,11
20717,0
20724,4
20755,2
20913,1
21456,0
21644,3
21794,0
23135,0
23545,1
23686,1
24143,0
24285,8
25235,0
25406,0
25696,0
26012,1
26362,3
26520,0
26559,0
26785,0
26969,4
27006,32
27644,1
27659,6
27759,21
27883,0
28907,36
29013,17
29455,0
29628,0
29683,3
30031,0
31130,0
31555,29
31902,0
31994,2
32023,0
32037,3
32041,15
32289,4
32329,0
32331,3
32363,0
32965,8
33009,1
33014,13
33156,30
36442,1
36647,0
36703,2
36934,8
37042,2
37197,23
38638,0
38663,24
39267,24
39282,3
39572,40
39586,0
39593,0
39704,8
40453,1
41513,0
42300,0
42729,0
42882,0
43726,4
44096,1
44161,1
44229,0
44288,2
44506,0
45542,1
45556,15
45910,1
45935,8
45936,1
45940,2
46544,3
46911,8
47362,1
47370,25
48719,0
50447,5
51438,1
51850,0
53137,0
53196,0
53469,0
53470,0
53477,0
53758,20
54158,0
54453,0
54466,28
54508,9
54544,4
54626,1
54694,0
54860,22
55498,0
55668,1
55982,3
56525,2
56859,0
57166,0
57297,2
57468,3
57618,0
57740,2
57754,0
57874,1
58062,2
58467,0
59014,5
59121,2
59709,5
59855,0
60164,1
60193,1
60457,0
60611,3
60666,0
60673,12
60680,2
60794,0
60948,0
61167,3
61224,0
61509,3
61747,1
62427,3
62430,0
62452,0
62461,5
62468,4
62787,0
62891,15
62903,7
62925,5
63320,0
63360,1
63573,1
63588,0
63610,0
63657,2
63693,2
63913,5
64000,0
64015,2
64107,0
64314,5
64361,0
64365,0
64837,1
65200,1
65268,9
65556,36
65615,3
65660,3
65813,12
65834,2
66008,0
66251,37
66275,1
66451,3
66718,6
66741,3
66974,0
67288,9
67299,4
67397,0
68099,6
68253,5
68305,0
68735,0
68765,4
68900,0
68974,6
69894,1
69921,8
70128,1
70279,0
71248,2
71366,12
71384,0
71812,0
72190,2
73246,1
74073,2
74240,9
74333,5
74680,0
74821,181
74860,0
75635,0
76761,0
77765,0
78919,1
80493,5
80684,0
80700,0
80924,3
81739,0
82549,0
82550,3
82638,9
82928,3
83391,0
83446,1
83847,1
84010,0
84059,3
86215,2
87279,2
89205,2
89427,5
89621,2
93313,10
94035,2
94209,10
94477,13
94783,10
95747,5
95883,7
96471,3
98663,1
99085,0
99662,0
100002,0
100184,1
100186,40
100368,0
101053,1
102995,2
103161,3
103311,0
105469,0
105510,21
105790,4
106363,0
106647,0
107630,0
107895,34
110739,1
112100,0
112304,3
112359,4
112435,3
113092,0
113265,0
114123,9
114229,4
115535,2
115748,1
116551,9
117425,5
118061,25
118680,2
121687,0
121861,3
123784,1
125163,14
126443,0
126816,0
127387,1
128975,0
132516,0
132661,0
132695,6
133025,1
134934,4
135393,6
135465,0
135706,0
136493,3
137121,6
138216,6
139624,8
140133,1
140425,5
140973,3
141154,1
141335,0
141890,1
142069,8
144087,6
144148,18
145064,0
145994,0
148201,0
148259,0
148825,3
149287,1
149777,2
150804,5
150883,11
150989,3
151199,0
151478,0
152071,4
152259,0
152263,1
153780,0
154934,15
155296,21
157673,5
158061,8
158176,0
158913,0
158955,0
159749,1
159815,1
159913,3
160994,0
161394,3
161996,3
162493,13
162508,1
162565,2
163814,3
164989,0
165080,8
166006,1
166172,0
166983,2
167013,0
167017,0
168123,4
168810,0
169063,2
169306,0
169464,0
169483,0
170420,0
170761,1
171562,32
172499,6
173151,2
173742,4
174966,0
176135,2
176653,2
177495,4
177606,6
179670,1
179741,8
180717,7
181972,28
182069,36
182095,0
182177,0
182649,12
187986,4
188661,0
188674,2
189135,6
189181,4
189732,0
189787,0
190542,46
190968,12
190974,2
191541,0
193105,0
193853,17
195123,0
195233,5
195240,5
195578,5
195989,0
197753,23
197931,112
197942,1
198028,0
200645,0
200955,4
201992,3
202273,0
203901,59
204065,1
204833,0
205043,0
205485,3
205735,0
205867,3
206316,5
206772,0
206957,0
208122,0
208148,3
209310,0
211078,0
211152,4
211974,2
212109,0
212178,1
212544,1
213330,3
214917,0
215560,0
216080,2
217580,0
218358,0
219066,0
219922,0
220563,0
220946,3
221097,2
222304,1
222913,0
223930,1
224004,7
224510,3
225297,0
225306,20
225354,5
225926,0
225976,0
226021,3
227495,37
227715,24
228317,8
228925,2
228979,15
229668,0
229874,0
230321,8
230877,2
231154,0
231194,12
231414,1
232612,0
233189,0
233348,5
233638,6
233662,1
234330,25
234870,6
235281,4
235552,2
235651,4
235951,0
235960,5
236671,0
236806,0
237210,0
239055,1
239733,0
239766,2
239826,2
239899,1
240709,0
240800,2
241140,1
241159,17
241862,0
242532,4
242585,0
242643,7
242768,0
243229,2
243708,0
244649,13
245544,1
245574,30
246134,9
246351,5
246916,3
248717,0
248865,0
248871,5
248966,3
249414,1
249618,2
249804,0
249867,3
250259,1
250311,10
250323,11
250536,0
250537,3
250801,1
251262,2
251277,9
252607,3
252865,5
253332,2
253466,0
253471,0
253475,0
253548,2
253590,6
253623,1
253800,0
253803,0
253806,0
253811,0
253815,0
253828,0
253839,0
253846,0
254168,0
254409,1
255476,2
255601,6
255637,61
255957,0
257097,0
257568,0
257787,12
258397,0
258686,0
258688,0
258690,2
258740,23
258838,2
258876,0
258930,4
259946,0
260765,0
261194,1
261259,20
261674,2
261781,3
262343,3
262405,0
262478,3
262583,1
263005,2
263190,0
263232,10
263473,0
263502,3
263776,0
263888,15
265036,0
265064,3
265145,0
265506,1
265912,2
266146,3
266155,2
266449,14
266964,0
267376,1
267435,1
267652,0
268335,3
268362,5
268392,19
268481,0
268868,7
269283,8
269404,2
269889,0
270139,4
270231,1
270315,0
270345,2
271083,0
271128,2
271130,32
271694,0
272026,0
272044,34
272427,6
272706,3
272738,0
273190,0
274062,0
274257,6
274329,0
274376,0
274743,9
274995,0
275976,1
276216,0
276317,5
276994,0
277207,0
277883,1
278090,5
278145,0
278631,0
278876,13
279857,2
280315,2
281521,6
281851,98
282081,1
282443,4
282514,0
282977,2
283072,1
283090,7
283184,15
283194,5
283272,7
283550,1
284208,0
284855,0
285515,2
286662,1
286794,0
286838,0
287408,24
287417,9
287421,1
287481,6
287845,10
288726,8
289020,28
289037,0
289665,2
289703,1
289958,0
291812,0
292047,2
292121,3
292266,1
292637,0
292800,7
293004,14
